C0151714	hypermagnesemia
C0005119	bereavement
C0403632	cystitis noninfective
C1868709	activation syndrome
C1696486	neuropsychological test abnormal
C0948163	leukoaraiosis
C0542518	kidney enlargement
C1739399	visceral congestion
C0861016	pupillary light reflex tests abnormal
C0263898	radiculitis lumbosacral
C0027721	Glomerulonephritis minimal lesion
C0155503	Vertigo CNS origin
C0852977	Epilepsy
C0151937	Tendon rupture
C0920249	sclerodactylia
C0151728	immunoglobulins decreased
C0235750	Hypertension
C1542178	Lower limb fracture
C0149911	hypercalcaemia of malignancy
C0396239	frontal sinus operation
C0842704	mouth cyst
C0155947	dentofacial anomaly
C0028879	odontogenic cyst
C0844334	septoplasty
C1112369	paranasal sinus hypersecretion
C0196435	spinal nerve stimulator implantation
C0340279	Ventricular hypertrophy
C0396262	sphenoid sinus operation
C1305875	Fibroadenoma of breast
C0852914	Bacteriuria
C0151661	Gangrene
C2242513	pulmonary air leakage
C1609511	laryngitis allergic
C0028173	Blood urea increased
C0151565	Enterocolitis haemorrhagic
C0239978	Frequent bowel movements
C1504327	international normalised ratio fluctuation
C0744727	Haematocrit decreased
C0235906	Bronchospasm
C1328327	gastrooesophageal sphincter insufficiency
C0154040	benign neoplasm of adrenal gland
C1112653	angioplasty
C0029293	oroantral fistula
C0740299	Blood culture positive
C0004659	Bacteriuria
C2242595	mucosal atrophy
C0436498	skeletal survey abnormal
C0854242	angiodysplasia
C1112341	connective tissue inflammation
C1504463	vascular encephalopathy
C0343863	Genital candidiasis
C1096083	extraocular muscle disorder
C0026995	spinal myelogram
C0855249	sleep disorder due to general medical condition, insomnia type
C1142076	radiation exposure
C0543698	Drug reaction with eosinophilia and systemic symptoms
C0856880	Blood urea increased
C0221752	Blood urine
C0877297	metastases to muscle
C1112230	exploratory operation
C0235893	Hypersensitivity
C0855056	leiomyosarcoma metastatic
C0855699	colour vision tests abnormal
C0595878	Blood sodium increased
C0012817	Diverticulum
C0240095	joint warmth
C0240671	Activated partial thromboplastin time prolonged
C0239954	hip deformity
C0948657	carbohydrate antigen 125 increased
C0038640	liposuction
C0494364	post procedural hypothyroidism
C0240813	prostate tenderness
C0948193	sexual relationship change
C0919692	pulmonary oedema neonatal
C0861145	granulocyte count increased
C0198614	omentectomy
C0854987	lung adenocarcinoma stage ii
C0002312	thalassaemia alpha
C0855978	blood folate
C0278865	pituitary tumour recurrent
C0852770	fracture reduction
C0206058	elective surgery
C0332714	impacted fracture
C0853939	oral mucosal discolouration
C0877410	wound closure
C1535975	pelvic discomfort
C1306503	exomphalos
C0684321	regressive behaviour
C0877179	injection site joint pain
C0032209	platybasia
C0740343	mononeuropathy
C0575158	kyphoscoliosis
C0338483	complicated migraine
C0013799	electrocardiogram ambulatory
C1142446	bicytopenia
C0242388	phytotherapy
C1112483	anastomotic haemorrhage
C0231341	premature ageing
C0006261	bronchial disorder
C0855675	blood zinc decreased
C0522251	sinus pain
C0187064	wrist surgery
C0854417	cardiac function disturbance postoperative
C0392164	cystic fibrosis lung
C0438237	hepatic enzyme abnormal
C0853024	blood parathyroid hormone decreased
C0220657	ovarian low malignant potential tumour
C0277638	accidental death
C0751965	secondary progressive multiple sclerosis
C0238421	selenium deficiency
C1142075	negative thoughts
C0156171	gastrointestinal surgery
C1167659	lower respiratory tract inflammation
C0235950	zinc deficiency
C2609231	product tampering
C0730274	traction
C0919721	anorectal operation
C0347894	radiculitis
C1504411	post procedural oedema
C0854021	visual field tests abnormal
C0031069	familial mediterranean fever
C0012359	Abdominal distension
C0392386	Platelet count decreased
C0160328	lung injury
C1141893	muscle enzyme
C0006287	bronchopulmonary dysplasia
C0235659	foetal movements decreased
C0204147	wisdom teeth removal
C0857035	Anaphylactic shock
C0751774	periodic limb movement disorder
C0041948	Azotaemia
C0238298	myxoedema coma
C0520459	Necrotising enterocolitis neonatal
C0027697	Nephritis
C0001425	adenoidectomy
C0541829	blood cholinesterase decreased
C0221722	Dyskinesia
C0151701	Pulmonary haemorrhage
C0162281	Corneal deposits
C1096069	group b streptococcus neonatal sepsis
C0521483	mucosal membrane hyperplasia
C0234962	pulmonary vasculitis
C0278823	bladder cancer stage ii
C0268732	Nephritic syndrome
C0338614	Psychotic disorder
C0041959	ureteritis
C0238124	Necrotising fasciitis
C0038367	Mouth ulceration
C0235295	Abdominal discomfort
C0348911	placental transfusion syndrome
C0036093	salivary gland disorder
C0234656	Eye pain
C0221490	Dyspepsia
C1299624	postural orthostatic tachycardia syndrome
C0853743	blood chloride abnormal
C0854056	urine osmolarity increased
C0340952	Anaemia
C0267380	Crohn's disease
C0235884	Gastric perforation
C0233842	dyslalia
C0853126	blood antidiuretic hormone increased
C0553704	Blood potassium increased
C0860728	Blood osmolarity increased
C0262662	Ventricular extrasystoles
C1691230	mitochondrial myopathy acquired
C0154769	myopathy toxic
C0270075	Neonatal disorder
C0852905	plasminogen decreased
C1868713	weaning failure
C0151500	Anticholinergic syndrome
C0562057	Throat irritation
C0852885	Airway complication of anaesthesia
C0472369	haemorrhagic cerebral infarction
C1696110	vessel puncture site haematoma
C0278034	Urine abnormality
C0919572	agitation postoperative
C1096717	Injection site pain
C0151730	drug effect increased
C0853746	blood creatinine
C0087169	Drug withdrawal syndrome
C0010705	cystostomy
C0521587	gastrointestinal stenosis
C0235887	peritonitis sclerosing
C0221248	gouty tophus
C0859060	abulia
C0001127	Respiratory acidosis
C0541830	blood cholinesterase
C0428982	Nodal arrhythmia
C0426063	transverse presentation
C0701811	Amnesia
C0679401	vascular rupture
C0562102	chemical burn of skin
C0151942	Arterial thrombosis
C0341217	dieulafoy's vascular malformation
C0853711	sperm count decreased
C0271375	ivth nerve paresis
C1609506	reaction to preservatives
C0481667	live birth
C0151628	epiphyses premature fusion
C0007682	Nervous system disorder
C0920055	liver transplant rejection
C0027125	Myotonia
C0239836	Paraesthesia
C0853084	high density lipoprotein increased
C0034734	Raynaud's phenomenon
C0001169	coagulation factor deficiency
C0476159	epiphyseal fracture
C0812387	Feeling cold
C0855513	spermatozoa progressive motility decreased
C1704436	Peripheral arterial occlusive disease
C0595883	Blood glucose decreased
C0947857	anal neoplasm
C0392477	congenital flat feet
C0268318	cholestasis of pregnancy
C0236816	acute stress disorder
C0242461	purpura non-thrombocytopenic
C0854716	conjunctival disorder
C1142392	application site mass
C0541896	sperm analysis abnormal
C0427160	parkinsonian gait
C1096647	pulmonary haematoma
C0476435	culture throat positive
C0423281	anterior chamber flare
C0423282	anterior chamber cell
C0677962	radical hysterectomy
C0849784	bacterial diarrhoea
C0343525	lemierre syndrome
C0158313	enthesopathy
C0263107	chest wall abscess
C0151570	coombs indirect test positive
C0854567	complications of transplant surgery
C0019154	hepatic vein thrombosis
C0919755	congenital pulmonary hypertension
C0855313	blood ketone body
C1112413	peripheral artery aneurysm
C0158995	congenital anaemia
C1262169	blood creatine phosphokinase
C0197937	eye muscle operation
C0855922	antibiotic level above therapeutic
C0151749	laboratory test interference
C1699743	renal injury
C1412000	mesenteric vascular insufficiency
C1510479	neuralgic amyotrophy
C0857007	hyperbilirubinaemia neonatal
C0877429	anaemia of malignant disease
C0271738	adrenal suppression
C0541796	audiogram abnormal
C1321581	bezoar
C0878555	diffuse panbronchiolitis
C0187278	amputation
C1610617	burkholderia cepacia infection
C0161444	nerve root injury lumbar
C0520837	forced expiratory volume decreased
C0272407	splenic cyst
C0855833	aspiration tracheal abnormal
C1868773	diabetic encephalopathy
C0456673	sputum retention
C0027547	necrotising scleritis
C0406650	linear iga disease
C0919777	band neutrophil count increased
C0422980	oscillopsia
C0854114	corneal epithelium defect
C1096049	infusion site swelling
C2609434	inner ear disorder
C1096022	trichosporon infection
C0158623	congenital coronary artery malformation
C0233660	thought blocking
C1608954	infusion site extravasation
C1868711	mechanical ventilation complication
C0854391	aortic injury
C0577628	latex allergy
C0278984	non-small cell lung cancer stage i
C0193769	thyroid operation
C0700360	allergy to animal
C0948154	hepatic vein stenosis
C0412134	cholangiogram
C0877365	infusion site erythema
C0271270	cogan's syndrome
C0408670	spinal decompression
C0852103	reproductive tract disorder
C0853595	blood cholesterol abnormal
C0345903	anal skin tags
C0392034	gastrooesophagitis
C0948072	thelitis
C0153653	parathyroid tumour
C1328386	breast fibroma
C0029801	genital prolapse
C1276801	erysipeloid
C0031029	apical granuloma
C0919931	urine calcium decreased
C0522067	hepatic pain
C0197050	eyelid operation
C0549334	parotid duct obstruction
C1112160	gastrooesophageal cancer
C0948198	acholia
C0030517	Parathyroid disorder
C0854382	libido disorder
C0185304	synovectomy
C0159076	choluria
C1262481	gastroenteritis eosinophilic
C1696088	uterine stenosis
C0400821	colitis microscopic
C0270921	axonal neuropathy
C0854676	failure of implant
C0856139	granuloma annulare
C1868809	catheter thrombosis
C1112734	gastric infection
C1971624	Decreased appetite
C0235694	enamel anomaly
C0333161	pseudocyst
C0595882	Blood calcium decreased
C0856398	revision of internal fixation
C0233697	obsessive rumination
C0263504	alopecia totalis
C1535984	splenic granuloma
C0027873	neuromyelitis optica
C0004998	Benign neoplasm of skin
C0423390	retinal artery embolism
C1964003	drug therapy
C0853031	hair follicle tumour benign
C0189660	arterial repair
C0239324	prolonged expiration
C0004444	avoidant personality disorder
C1699498	infusion site necrosis
C0852774	hand repair operation
C0153560	sarcoma of skin
C1096082	oesophageal discomfort
C0157189	elderly
C1535923	clostridium difficile toxin test positive
C0410740	finger deformity
C0855304	glycosylated haemoglobin
C0079043	Bronchospasm
C0684516	benign bone neoplasm
C1504346	pruritus allergic
C1138421	spider vein
C0162311	androgenetic alopecia
C0025062	pneumomediastinum
C0272753	Femur fracture
C0278578	cervix carcinoma stage iv
C2173677	Renal cyst
C0153398	hypopharyngeal cancer
C0085232	pharyngoesophageal diverticulum
C0036094	salivary gland fistula
C1261959	respiratory tract infection bacterial
C0030477	paranoid personality disorder
C1095946	rheumatoid nodule
C1377787	vaginal cancer metastatic
C0155192	trichiasis
C0751967	relapsing-remitting multiple sclerosis
C0239161	dactylitis
C1112347	t-lymphocyte count increased
C0853086	very low density lipoprotein increased
C1691221	lower respiratory tract infection fungal
C0235919	Radiculopathy
C0853885	blood electrolytes decreased
C0853880	drug specific antibody present
C0729565	genital infection female
C0011311	dengue fever
C0014647	epulis
C0085273	erythema infectiosum
C0029734	Scleritis
C0877454	aversion
C0340770	venous injury
C0162839	porokeratosis
C0433445	burns third degree
C0422974	halo vision
C0919657	alveolitis necrotising
C1096015	cardiac imaging procedure normal
C0042040	bilirubin urine
C1096296	peripheral paralysis
C0854118	respiratory tract irritation
C3160754	Atypical femur fracture
C0948063	nephrectasia
C0267493	intestinal prolapse
C1536009	oesophageal oedema
C0406322	nail psoriasis
C0587050	lower extremity mass
C0544618	orthostatic hypertension
C1096460	infusion site phlebitis
C0334041	osteoma cutis
C0262605	presbyoesophagus
C0577659	axillary pain
C0238097	encephalitis cytomegalovirus
C0231247	weight loss poor
C0023501	leukaemoid reaction
C0948432	otitis externa fungal
C0919713	creatinine renal clearance increased
C0740339	throat cancer
C0157741	idiopathic urticaria
C0856806	hypoprothrombinaemia
C0240621	palatal oedema
C0023944	locked-in syndrome
C0221030	hyperviscosity syndrome
C0730275	macular pseudohole
C0948275	somogyi phenomenon
C0151472	albumin globulin ratio abnormal
C1096704	blood erythropoietin increased
C0580324	electrocardiogram ambulatory abnormal
C0852866	cervical cord compression
C0151629	fixed eruption
C0948036	gastric ulcer helicobacter
C0860594	metastatic malignant melanoma
C0854077	diabetic retinal oedema
C0011875	diabetic vascular disorder
C0877230	glutamate dehydrogenase increased
C1096142	anti-insulin antibody
C1306063	acute left ventricular failure
C1963746	abdominal wall haematoma
C0154287	inadequate diet
C0265152	pericarditis uraemic
C0038868	progressive supranuclear palsy
C0030436	parakeratosis
C1096400	haemorrhagic transformation stroke
C0267807	lupus hepatitis
C0948256	immunosuppressant drug level decreased
C1096270	lymphangiectasia intestinal
C0346255	renal oncocytoma
C0549310	vaginal mycosis
C0919556	hantaviral infection
C0241558	urethral haemorrhage
C0161899	gastrectomy
C0013292	duodenal obstruction
C0040953	hair plucking
C0558148	Yellow skin
C0877320	renal cyst ruptured
C0239385	Paraesthesia
C0001416	Lymphadenitis
C0193388	biopsy liver
C0013069	double outlet right ventricle
C1096389	arteriovenous fistula site haemorrhage
C0271160	cataract cortical
C1527398	emergency care
C0040761	transposition of the great vessels
C0861103	antidepressant drug level increased
C1167661	cerebral vasoconstriction
C2363755	acquired protein s deficiency
C0192499	oesophagogastric fundoplasty
C0877337	tongue haemorrhage
C0576776	osteomyelitis drainage
C0860916	ceruloplasmin decreased
C0520737	coombs negative haemolytic anaemia
C0949691	spondyloarthropathy
C0235293	Dysgeusia
C0264886	Conduction disorder
C0745228	iliac artery occlusion
C0155210	xanthelasma
C0563238	gastritis viral
C1739097	pneumobilia
C1141954	allergy to arthropod sting
C1333984	hepatosplenic t-cell lymphoma
C2242727	tumour compression
C0157037	cervical incompetence
C0343212	ligament calcification
C0855412	coagulation factor viii level increased
C0333494	phlebosclerosis
C0039338	Taste disorders
C0474983	tongue haematoma
C0193052	rectal lesion
C1320835	Body temperature increased
C0748830	skull fractured base
C0030318	Panic reaction
C0581385	lymph node calcification
C1112478	menstrual discomfort
C0751466	phonophobia
C1868833	bronchial wall thickening
C1095979	progressive multiple sclerosis
C0349609	pneumocephalus
C0521619	pelvi-ureteric obstruction
C2584688	Testicular swelling
C2242575	compulsive shopping
C1739366	injection site papule
C0234708	Intraocular pressure increased
C0585186	Dermatitis atopic
C0854030	blood creatine decreased
C0948101	gastrointestinal tract adenoma
C0425043	death of relative
C0853655	mean cell volume abnormal
C0860894	alpha 2 globulin increased
C0877156	coronary artery thrombosis
C0272118	warm type haemolytic anaemia
C0001193	apert's syndrome
C0039319	tarsal tunnel syndrome
C0852318	ligament disorder
C1963982	periodontal destruction
C0521161	vasculitic rash
C0275804	tonsillitis streptococcal
C0423690	facet joint syndrome
C2608059	spinal cord operation
C0278579	cervix carcinoma recurrent
C0424823	Parotid gland enlargement
C0263012	panniculitis lobular
C0332686	burns first degree
C1262067	tracheobronchitis viral
C1699603	excessive eye blinking
C1535936	vocal cord polypectomy
C0280089	carcinoid tumour pulmonary
C1262201	hysteroscopy
C0010278	craniosynostosis
C0158477	neck deformity
C1504417	pregnancy after post coital contraception
C0195681	cervix cerclage procedure
C0158828	placenta praevia
C0231249	body height increased
C0852158	genitourinary tract infection
C1536042	colposcopy
C0238020	biliary adenoma
C0677958	non-hodgkin's lymphoma stage i
C1142082	uterine cervical pain
C0156104	inguinal hernia, obstructive
C0404188	salpingectomy
C1112157	intrauterine infection
C0280630	sarcoma uterus
C1167837	insulin-like growth factor increased
C1963828	uterine cervix stenosis
C0265554	congenital cleft hand
C0238394	pseudohermaphroditism female
C0041274	fallopian tube obstruction
C1295633	progesterone abnormal
C0854409	varicophlebitis
C0206138	crest syndrome
C0392039	ovarian enlargement
C0161768	iucd complication
C0341803	endometrial ablation
C0520588	vulvovaginal pain
C1735866	abortion of ectopic pregnancy
C1112214	vulvovaginal pruritus
C0195488	ovarian cystectomy
C1963790	vulvovaginal burning sensation
C0853021	blood oestrogen decreased
C0279672	adenocarcinoma of the cervix
C0434175	uterine injury
C0854402	mechanical complication of implant
C0854201	tooth malformation
C0347656	penis injury
C0751429	laparoscopic surgery
C0589616	genitourinary chlamydia infection
C0278798	endometrial cancer stage i
C0948277	hydrometra
C0524802	optic nerve neoplasm
C0018566	congenital hand malformation
C0430059	pregnancy test urine positive
C1135868	gestational trophoblastic tumour
C0748726	allergic sinusitis
C0221074	postpartum depression
C1622505	gardnerella infection
C1535877	uterine haematoma
C1112366	eyelid irritation
C0195328	biopsy cervix
C1168012	streptococcal serology
C0240322	menstruation delayed
C0855268	bacteria cervical specimen identified
C0747417	ultrasound pelvis
C0521496	application site infection
C0237020	dermoid cyst of ovary
C0241635	vaginal erythema
C1868753	procedural vomiting
C0877388	cerebral haemangioma
C1262046	antibody test abnormal
C0567085	uterine pain
C0853104	renal tubular atrophy
C0269173	fallopian tube cyst
C0158698	urinary tract malformation
C0949082	meningorrhagia
C0235768	retinal artery thrombosis
C0235832	hernia congenital
C1328396	pregnancy with contraceptive device
C1608942	complication of device insertion
C0589110	deep vein thrombosis postoperative
C0948561	gynaecological chlamydia infection
C1535887	post procedural pulmonary embolism
C1609512	vulvovaginal mycotic infection
C0266836	infantile colic
C0240806	progesterone increased
C1319186	papillophlebitis
C0240802	pregnancy test positive
C0878511	uterine abscess
C1141964	colitis erosive
C0278545	rectal cancer stage i
C0877338	breast discomfort
C0948691	cerebral aspergillosis
C0854954	ovarian germ cell teratoma benign
C0341834	chlamydial cervicitis
C0860851	oestradiol increased
C0877568	incision site abscess
C0877569	ovarian cyst torsion
C0853971	breast cancer stage iii
C0853798	endometrial adenoma
C1868730	genital discomfort
C0007851	uterine cervical laceration
C0566948	vaginal swelling
C1696155	vaginal perforation
C0027538	necrobiosis
C0341863	polymenorrhagia
C0392129	ectopic pregnancy termination
C0340648	coronary artery dissection
C0282209	iud migration
C1142047	bacterial culture positive
C1096618	peritoneal lesion
C0349735	ovarian infection
C2242618	renal fusion anomaly
C0948664	imminent abortion
C0158683	congenital cystic disease of liver
C0392057	ovarian necrosis
C0269029	douglas' abscess
C1504461	cervix erythema
C0221782	uterine mass
C0427780	pregnancy test
C1261242	high risk sexual behaviour
C0221717	contact lens intolerance
C1695986	hormone level abnormal
C0853889	drug implant rejection
C1868779	ectopic pregnancy with intrauterine device
C0204786	intra-uterine contraceptive device removal
C0549315	benign hydatidiform mole
C0263338	urticaria chronic
C0877298	blood homocysteine
C0853016	blood human chorionic gonadotropin decreased
C0020450	hyperemesis gravidarum
C0027338	onychophagia
C0349757	arteriovenous graft thrombosis
C2004487	vaginismus
C1963792	device shape alteration
C0269202	cervical cyst
C1112581	genital discharge
C0269993	suppressed lactation
C0269995	lactation puerperal increased
C0041343	tubo-ovarian abscess
C0854265	post abortion haemorrhage
C0018962	haematosalpinx
C0729525	genital infection bacterial
C0151865	pregnancy test false positive
C0151511	breast atrophy
C0544617	neurogenic shock
C0729552	genital infection
C1504358	false negative pregnancy test
C0235883	uterine inflammation
C0271093	stargardt's disease
C0919594	poor weight gain neonatal
C0021899	intra-uterine contraceptive device expelled
C1096300	genital burning sensation
C0022927	lactation disorder
C0404572	infertility female
C1112190	urine human chorionic gonadotropin increased
C0269194	cervical leukoplakia
C0271930	anaemia of pregnancy
C1696683	post procedural headache
C0036133	salpingo-oophoritis
C0149952	ovarian torsion
C0149877	hypoglycaemic encephalopathy
C0195053	haematoma evacuation
C0002890	leukoerythroblastic anaemia
C0274418	peritoneal dialysis complication
C0158684	congenital pancreatic anomaly
C1168016	base excess decreased
C0919879	intestinal fistula
C1096121	skeleton dysplasia
C0188605	foot amputation
C0019364	herpes zoster ophthalmic
C0427540	blast cells present
C0863745	vascular bypass graft
C0341694	glomerulonephritis rapidly progressive
C0003886	congenital multiplex arthrogryposis
C0221271	elastosis perforans
C0302280	adrenogenital syndrome
C0036981	endotoxic shock
C0017250	gender identity disorder
C0576995	pharyngeal haemorrhage
C0152427	polydactyly
C0278688	ovarian cancer metastatic
C0854084	necrotising fasciitis streptococcal
C0151490	congenital central nervous system anomaly
C0010495	cutis laxa
C1112277	bone formation decreased
C0854255	systemic sclerosis pulmonary
C0855002	lung carcinoma cell type unspecified recurrent
C0522059	feeding problem in child
C0196573	peripheral nerve decompression
C1536021	disbacteriosis
C0855630	gamma-glutamyltransferase
C2363981	chronic hepatic failure
C0265830	congenital pulmonary valve disorder
C1096714	infusion site infection
C0919804	liver carcinoma ruptured
C0744415	albumin globulin ratio increased
C1096295	anticonvulsant drug level above therapeutic
C1167983	blood urea
C1282921	cotard's syndrome
C0580417	international normalised ratio
C0346967	metastases to gastrointestinal tract
C0152268	hodgkin's disease nodular sclerosis stage unspecified
C0278695	neuroblastoma recurrent
C0856761	budd-chiari syndrome
C0007274	carotid artery thrombosis
C0266785	umbilical cord abnormality
C0520933	spermatogenesis abnormal
C0854889	mesothelioma malignant advanced
C0521613	pancreatic haemorrhage
C0855011	chondrosarcoma
C0151787	myeloid maturation arrest
C0199961	whole blood transfusion
C0877292	metastases to stomach
C0026010	microphthalmos
C0919796	groin infection
C0195463	fallopian tube operation
C0855282	bacteria body fluid identified
C0238436	sternal fracture
C0853323	urine amylase
C1167727	postrenal failure
C0859354	hepaplastin decreased
C0221732	mouth plaque
C0233720	poverty
C0002766	pain management
C0855644	blood uric acid decreased
C0342773	pearson's syndrome
C0855842	hepatitis c rna
C0185188	fasciotomy
C1096232	microsporum infection
C0855115	diffuse large b-cell lymphoma stage ii
C0586683	histology
C0855571	beta 2 microglobulin decreased
C0853602	immunodeficiency congenital
C0006430	burning mouth syndrome
C1142249	infected cyst
C0948722	lordosis
C0240406	murphy's sign positive
C0948348	tumour associated fever
C0017653	glomus tumour
C1869047	retinal vasculitis
C1305215	forearm fracture
C0263358	erythema annulare
C1699848	therapy cessation
C1536053	tongue exfoliation
C0193200	anoplasty
C0339022	keratomileusis
C0233767	hallucination, tactile
C0273163	pancreatic injury
C0878588	sphincter of oddi dysfunction
C0349746	somatic delusion
C0206731	angiofibroma
C0919626	thirst decreased
C0193131	anal fissure excision
C0022504	kaposi's varicelliform eruption
C0856168	brief psychotic disorder with marked stressors
C0149766	purpura senile
C0265147	pericarditis infective
C0862448	renal cancer stage iv
C0032520	polymerase chain reaction
C0035467	rhinoplasty
C0855783	haemoglobin s decreased
C0159849	patella fracture
C0346388	choroid melanoma
C0267988	hyperproteinaemia
C0236141	Electrocardiogram abnormal
C0398359	trousseau's syndrome
C1369136	anal cancer metastatic
C0235922	Benign breast neoplasm
C0235939	Crying
C0221016	Red blood cell disorders
C1096493	meningioma surgery
C0497538	benign gastrointestinal neoplasm
C0235980	scleral discolouration
C0027960	Melanocytic naevus
C0023222	Pain in extremity
C0474362	optic disc haemorrhage
C1112363	underdose
C0235653	Breast cancer female
C0014857	hernia hiatus repair
C1611723	portal vein pressure increased
C0549433	Surgery
C0278314	nephrostomy
C0015393	Eye disorder
C0679189	belligerence
C0549346	Sciatica
C0855217	lack of spontaneous speech
C0860670	angiogram abnormal
C0238775	bladder mass
C0020179	huntington's chorea
C0040038	Embolism venous
C0032461	Polycythaemia
C0235901	Lacrimal disorder
C0586553	Blood thyroid stimulating hormone increased
C0041667	underweight
C0235889	Arthritis
C0235086	Muscle contractions involuntary
C0855931	cardioactive drug level above therapeutic
C0855180	bladder adenocarcinoma stage unspecified
C1457883	Aggression
C1302752	Excoriation
C0152136	normal tension glaucoma
C0549356	Injury
C1095990	brain natriuretic peptide decreased
C0007137	Squamous cell carcinoma
C1696466	hepatic calcification
C0034933	reflexes abnormal
C0232132	Pulse abnormal
C1142489	vibration test abnormal
C0854113	mucosal dryness
C1699114	cd4 lymphocytes increased
C1328376	injection site scab
C0340221	tracheal obstruction
C0026266	Mitral valve incompetence
C1096345	sexual activity increased
C0853825	meningioma benign
C1456822	Intermittent claudication
C0159658	clavicle fracture
C0347805	ilium fracture
C0554393	placental infarction
C1142083	embolia cutis medicamentosa
C1167945	infusion site rash
C1168385	light chain analysis
C1444680	posterior capsule opacification
C0155303	toxic optic neuropathy
C1735864	administration site infection
C1504368	single functional kidney
C0587048	upper extremity mass
C0161467	sciatic nerve injury
C0340530	heart transplant
C0877437	corrective lens user
C0033074	presbyacusis
C0949039	lymphoid tissue hyperplasia
C0438158	electrocardiogram q waves
C1389062	cartilage atrophy
C0080174	spina bifida occulta
C0948662	carbohydrate antigen 27.29 increased
C1695892	infantile apnoeic attack
C0854178	metastases to adrenals
C0272275	white clot syndrome
C0032051	placental insufficiency
C0012241	gastrointestinal malformation
C0948702	upper respiratory fungal infection
C0154640	meningitis staphylococcal
C0235779	hepatosplenomegaly neonatal
C1535850	spinal corpectomy
C0159054	sputum abnormal
C1141959	ecg signs of myocardial ischaemia
C0750934	arthroscopic surgery
C0549471	pancoast's tumour
C0021459	inhalation therapy
C0156750	asymptomatic bacteriuria
C0195344	endocervical curettage
C0948761	anti-hbs antibody
C1096564	scrotal cyst
C0235547	respiratory depth decreased
C1262105	urinary tract infection staphylococcal
C1739397	abdominal wound dehiscence
C0149958	Complex partial seizures
C0853155	protein urine absent
C0235848	Cold sweat
C0268889	prostatic obstruction
C0025295	meningitis pneumococcal
C1318543	giant cell tumour of tendon sheath
C0877282	precancerous cells present
C0031157	peritonsillar abscess
C0855919	analgesic drug level above therapeutic
C0085555	hospice care
C1142439	haemophilus bacteraemia
C0948376	electrocardiogram st-t segment abnormal
C1610069	Cardiovascular insufficiency
C0192153	glossectomy
C0579079	breech delivery
C0684817	metastases to neck
C0162635	angelman's syndrome
C0948040	bronchitis fungal
C0854826	t-cell lymphoma recurrent
C0948214	lymphatic system neoplasm
C1096094	mandibular prosthesis user
C0235634	costovertebral angle tenderness
C1739109	mediastinitis
C0740399	Hallucinations, mixed
C1696372	wound infection fungal
C0042273	vagotomy
C0877268	coombs test negative
C0520831	vital capacity decreased
C0042014	urine analysis
C1698976	infusion site urticaria
C0003460	Anuria
C0948128	metastases to mouth
C0332534	Induration
C1735871	posterior capsulotomy
C0266263	congenital hepatomegaly
C0159023	feeding problem in newborn
C0221232	Urticaria
C0039980	chest injury
C0020256	congenital hydrocephalus
C1695776	vertebral wedging
C0521579	strabismus congenital
C0877606	infusion site burning
C0008522	choroidal haemorrhage
C0154861	retinal dystrophy
C0342593	anion gap decreased
C0339467	retinopathy proliferative
C1281915	choroidal infarction
C0160345	gastrointestinal injury
C0521500	Injection site extravasation
C1268766	Blood pressure fluctuation
C1697883	Infusion related reaction
C0600518	choroidal neovascularisation
C0423434	subretinal fibrosis
C0300942	adrenocortical insufficiency chronic
C0423232	corneal staining
C0521683	chorioretinal atrophy
C0151892	retinal pigmentation
C0151891	retinal depigmentation
C1695782	cerebral hypoperfusion
C0859290	Melanoderma
C0035126	reperfusion injury
C0008512	chorioretinal scar
C1963810	eye laser scar
C0750394	White blood cell count decreased
C0151605	Injection site swelling
C1328519	retinal pigment epithelial tear
C0242420	Retinal oedema
C1370879	salivary gland neoplasm
C0541974	Feeling abnormal
C0520724	retinal cyst
C1504336	polypoidal choroidal vasculopathy
C0685938	Gastrointestinal carcinoma
C0423428	macular scar
C0159028	General symptom
C0521775	ear lobe infection
C0948862	detachment of retinal pigment epithelium
C0730291	choroidal dystrophy
C0151726	injection site hypersensitivity
C0919986	infusion site oedema
C1096342	infusion site ulcer
C0027746	nerve degeneration
C0154832	exudative retinopathy
C0026897	myasthenic syndrome
C0860552	retinal pigment epitheliopathy
C0853227	blood iron abnormal
C0852720	visual acuity reduced transiently
C0919569	airway complication of anaesthesia
C0269966	perineal repair breakdown
C0854691	anaesthetic complication pulmonary
C0428886	Mean arterial pressure
C0425470	intercostal retraction
C0236111	butterfly rash
C0700292	Hypoxia
C0153678	metastases to pleura
C0019009	haemodilution
C1167959	device ineffective
C0852281	neonatal respiratory arrest
C0677886	ovarian epithelial cancer
C0521645	neonatal respiratory acidosis
C1112537	neurological examination abnormal
C0948245	cytokine release syndrome
C0011757	developmental coordination disorder
C1533150	anal dilatation
C0860700	prothrombin level abnormal
C0919728	unwanted awareness during anaesthesia
C1611713	cerebral hyperperfusion syndrome
C0857370	Flushing
C0686731	familial risk factor
C0151544	Gastrointestinal carcinoma
C0037286	Neoplasm skin
C0085639	Fall
C0005683	Calculus bladder
C0042721	Hepatitis viral
C0041688	femoral hernia
C0917816	Mental retardation
C0855693	nerve conduction studies abnormal
C0042131	Uterine disorder
C0596170	binge eating
C0042138	Uterine neoplasm
C1096064	drug chemical incompatibility
C0948021	b-lymphocyte count decreased
C1963757	dopamine dysregulation syndrome
C0854140	endocardial disease
C0424410	excessive masturbation
C0037116	silicosis
C0036888	sexual offence
